src_idx,trg_idx,train_actn_loss,train_cl_loss,train_acc,epoch,valid_actn_loss,valid_cl_loss,valid_acc
0,0,0.08043231659245734,0.0,1.0,0,0.15082570165395737,0.0,1.0
0,1,0.6540082188285127,0.0,0.8054408482751068,0,0.7920298159122467,0.0,0.7728000402450561
1,0,0.5962202526172813,0.0,0.8236288267130755,0,0.9356240928173065,0.0,0.7466000437736511
1,1,0.0853423838674718,0.0,1.0,0,0.1553787812590599,0.0,1.0
0,0,0.08042949006645655,0.0,1.0,1,0.15082570314407348,0.0,1.0
0,1,0.3749925518522457,0.0,0.8979113521624584,1,0.5883831560611725,0.0,0.8361000537872314
1,0,0.38924081030548835,0.0,0.8947823661930707,1,0.6453676044940948,0.0,0.8299000322818756
1,1,0.08524502357658074,0.0,1.0,1,0.1553787812590599,0.0,1.0
0,0,0.0806570961235129,0.0,1.0,2,0.150825697183609,0.0,1.0
0,1,0.3477813809805987,0.0,0.9076411033771477,2,0.5373094618320465,0.0,0.8520000457763672
1,0,0.3585426514702184,0.0,0.9079679527453014,2,0.5581499457359314,0.0,0.8555000483989715
1,1,0.08530657126435212,0.0,1.0,2,0.1553787812590599,0.0,1.0
0,0,0.08049855578918846,0.0,0.9999800701530612,3,0.15082570016384125,0.0,0.9998000144958497
0,1,0.33319151660009305,0.0,0.913771524417157,3,0.5191510021686554,0.0,0.8593000411987305
1,0,0.34173273310369373,0.0,0.9146125638971523,3,0.5370784729719162,0.0,0.8644000291824341
1,1,0.08553370322119824,0.0,1.0,3,0.15537878572940828,0.0,1.0
0,0,0.08061731800589027,0.0,1.0,4,0.150825697183609,0.0,1.0
0,1,0.3239055198370194,0.0,0.9161551339285714,4,0.5024830996990204,0.0,0.8630000412464142
1,0,0.33180795594745754,0.0,0.918459024356336,4,0.5239061832427978,0.0,0.8696000456809998
1,1,0.08532989127751515,0.0,1.0,4,0.15537877827882768,0.0,0.9999000072479248
0,0,0.08039212529072348,0.0,0.9999800701530612,5,0.15082569867372514,0.0,1.0
0,1,0.3172981994492667,0.0,0.9189891581024442,5,0.499890872836113,0.0,0.8680000364780426
1,0,0.3237070363699173,0.0,0.921400669582036,5,0.5187122017145157,0.0,0.871200042963028
1,1,0.08520431139943552,0.0,1.0,5,0.15537877827882768,0.0,0.9999000072479248
0,0,0.08047900124624068,0.0,0.9999800701530612,6,0.15082570016384125,0.0,1.0
0,1,0.3117417990401083,0.0,0.9207669006926673,6,0.4907151758670807,0.0,0.869400042295456
1,0,0.3187129819119463,0.0,0.9236686862244898,6,0.5155195266008377,0.0,0.8735000371932984
1,1,0.08526450766212477,0.0,1.0,6,0.15537878423929213,0.0,1.0
0,0,0.08045103678441777,0.0,1.0,7,0.150825697183609,0.0,1.0
0,1,0.3077978512310252,0.0,0.9232501594387755,7,0.48646878600120547,0.0,0.8713000357151032
1,0,0.3151109004963417,0.0,0.9248764350706217,7,0.5104508817195892,0.0,0.8753000319004058
1,1,0.08537499281596772,0.0,1.0,7,0.15537878274917602,0.0,0.9999000072479248
0,0,0.0805539555885658,0.0,0.9999800701530612,8,0.15082569867372514,0.0,0.9999000072479248
0,1,0.30426246726087164,0.0,0.9238161672742999,8,0.4826322078704834,0.0,0.8711000442504883
1,0,0.3107726845358099,0.0,0.9257095027334836,8,0.5098857671022415,0.0,0.8710000514984131
1,1,0.08530735931530291,0.0,1.0,8,0.1553787812590599,0.0,0.9999000072479248
0,0,0.08041036518632758,0.0,1.0,9,0.15082569867372514,0.0,0.9998000144958497
0,1,0.3005691689192032,0.0,0.926028380284504,9,0.478058397769928,0.0,0.8723000466823578
1,0,0.3086010720200685,0.0,0.9270766900510204,9,0.5042296797037125,0.0,0.8759000360965729
1,1,0.08547065370925228,0.0,1.0,9,0.15537878423929213,0.0,1.0
0,0,0.08080960736058805,0.0,1.0,10,0.15082569867372514,0.0,0.9999000072479248
0,1,0.2981589044995454,0.0,0.9267737564383721,10,0.4760780543088913,0.0,0.8723000347614288
1,0,0.30621616565147225,0.0,0.9284558353983626,10,0.5060138255357742,0.0,0.8737000405788422
1,1,0.08542614038653519,0.0,1.0,10,0.15537878274917602,0.0,1.0
0,0,0.08068363303888818,0.0,1.0,11,0.15082569569349288,0.0,1.0
0,1,0.29543954232821656,0.0,0.92735969381673,11,0.4766772538423538,0.0,0.8751000344753266
1,0,0.30367591764245716,0.0,0.9290497448979592,11,0.49904242157936096,0.0,0.8757000386714935
1,1,0.0853976537188401,0.0,1.0,11,0.1553787812590599,0.0,0.9999000072479248
0,0,0.08048246042536837,0.0,1.0,12,0.15082570016384125,0.0,1.0
0,1,0.2921856783938651,0.0,0.9283123405612245,12,0.4751322537660599,0.0,0.8750000476837159
1,0,0.3015490923913158,0.0,0.9299426021016374,12,0.49999256432056427,0.0,0.8760000348091126
1,1,0.08533010436031892,0.0,1.0,12,0.15537878423929213,0.0,0.9999000072479248
0,0,0.0804509512167804,0.0,0.9999800701530612,13,0.15082570165395737,0.0,1.0
0,1,0.2897518139560612,0.0,0.9290935905004034,13,0.4687793403863907,0.0,0.8764000415802002
1,0,0.29983539894527317,0.0,0.930974968233887,13,0.49567469358444216,0.0,0.8759000360965729
1,1,0.0854053627319482,0.0,1.0,13,0.15537878274917602,0.0,0.9999000072479248
0,0,0.0806590540486635,0.0,1.0,14,0.15082570016384125,0.0,1.0
0,1,0.2889190012855189,0.0,0.9295639350098006,14,0.46942661702632904,0.0,0.8767000377178192
1,0,0.2982679724845351,0.0,0.9314094389579735,14,0.4947205722332001,0.0,0.8764000415802002
1,1,0.0854377468135588,0.0,1.0,14,0.1553787872195244,0.0,0.9999000072479248
0,0,0.08054091967642307,0.0,1.0,15,0.150825697183609,0.0,0.9999000072479248
0,1,0.2863834210652478,0.0,0.9309191646016374,15,0.46983882784843445,0.0,0.8778000414371491
1,0,0.2967558890124973,0.0,0.9321109695093972,15,0.49267069101333616,0.0,0.8775000452995301
1,1,0.08547077307059449,0.0,1.0,15,0.1553787797689438,0.0,0.9999000072479248
0,0,0.08055545919935922,0.0,1.0,16,0.15082569867372514,0.0,0.9999000072479248
0,1,0.28387267165342156,0.0,0.93126594381673,16,0.4677006036043167,0.0,0.8771000385284424
1,0,0.29527511675747076,0.0,0.9319674746722592,16,0.4921952337026596,0.0,0.8788000464439392
1,1,0.08549662590102881,0.0,1.0,16,0.15537878572940828,0.0,0.9999000072479248
0,0,0.08066434728703936,0.0,1.0,17,0.15082570016384125,0.0,0.9999000072479248
0,1,0.28247993568680724,0.0,0.9318160077138823,17,0.4649553090333939,0.0,0.8791000425815583
1,0,0.29347801702667253,0.0,0.9328762755102041,17,0.4894904285669327,0.0,0.8767000436782837
1,1,0.08532948092538484,0.0,1.0,17,0.1553787812590599,0.0,0.9999000072479248
0,0,0.08071417524954494,0.0,1.0,18,0.15082569867372514,0.0,0.9999000072479248
0,1,0.28067364049505217,0.0,0.9329958545918368,18,0.4598632544279099,0.0,0.8795000493526459
1,0,0.2928322838733391,0.0,0.9329719388363312,18,0.4923664122819901,0.0,0.8766000390052795
1,1,0.0853290308685023,0.0,1.0,18,0.15537878274917602,0.0,1.0
0,0,0.08053085595673444,0.0,1.0,19,0.15082569867372514,0.0,0.9998000144958497
0,1,0.27969568785356014,0.0,0.9330357142857143,19,0.45867632031440736,0.0,0.8779000401496887
1,0,0.29160964238096254,0.0,0.9342075893465354,19,0.486925932765007,0.0,0.8804000377655029
1,1,0.08542621428413051,0.0,1.0,19,0.15537878423929213,0.0,0.9999000072479248
0,0,0.08054391003917066,0.0,1.0,20,0.150825697183609,0.0,0.9998000144958497
0,1,0.27814421810361806,0.0,0.9343710140306123,20,0.4623206228017807,0.0,0.8797000348567963
1,0,0.29050488519121187,0.0,0.9344108737244898,20,0.4839905261993408,0.0,0.8793000400066375
1,1,0.08548739799583445,0.0,1.0,20,0.1553787872195244,0.0,0.9999000072479248
0,0,0.08058667011863115,0.0,0.9999800701530612,21,0.15082569867372514,0.0,0.9998000144958497
0,1,0.27666126107987093,0.0,0.9347536670310157,21,0.46035121381282806,0.0,0.8802000463008881
1,0,0.2907330760998385,0.0,0.9336933992346939,21,0.4823803424835205,0.0,0.8773000478744507
